style,year,co_style,co_count,sample_size
Disco,1970,Funk / Soul,42,50
Disco,1970,Electronic,11,50
Disco,1970,Pop,30,50
Disco,1970,Rock,6,50
Disco,1970,Stage & Screen,2,50
Disco,1970,Soul,18,50
Disco,1970,Funk,7,50
Disco,1970,Dancehall,1,50
Disco,1970,Reggae,1,50
Disco,1970,Blues,1,50
Disco,1970,"Folk, World, & Country",2,50
Disco,1970,Gospel,1,50
Disco,1970,Chanson,4,50
Disco,1970,Vocal,1,50
Disco,1970,Calypso,1,50
Disco,1970,African,1,50
Disco,1971,Funk / Soul,26,50
Disco,1971,Pop,16,50
Disco,1971,Electronic,21,50
Disco,1971,Latin,6,50
Disco,1971,Rock,4,50
Disco,1971,Soul,9,50
Disco,1971,"Folk, World, & Country",3,50
Disco,1972,Latin,5,50
Disco,1972,Funk / Soul,40,50
Disco,1972,Pop,15,50
Disco,1972,Electronic,14,50
Disco,1972,Stage & Screen,1,50
Disco,1972,Rock,2,50
Disco,1972,"Folk, World, & Country",1,50
Disco,1973,Funk / Soul,46,50
Disco,1973,Electronic,11,50
Disco,1973,Pop,7,50
Disco,1973,Latin,1,50
Disco,1973,Rock,2,50
Disco,1973,Blues,2,50
Disco,1974,Funk / Soul,43,50
Disco,1974,Pop,10,50
Disco,1974,Jazz,2,50
Disco,1974,Latin,1,50
Disco,1974,Electronic,6,50
Disco,1974,Rock,1,50
Disco,1974,Blues,1,50
Disco,1975,Funk / Soul,43,50
Disco,1975,Pop,8,50
Disco,1975,Electronic,8,50
Disco,1975,Latin,2,50
Disco,1975,Rock,1,50
Disco,1975,Jazz,1,50
Disco,1976,Electronic,12,50
Disco,1976,Funk / Soul,39,50
Disco,1976,Pop,5,50
Disco,1977,Electronic,20,50
Disco,1977,Funk / Soul,34,50
Disco,1977,Pop,4,50
Disco,1977,Jazz,1,50
Disco,1978,Funk / Soul,36,50
Disco,1978,Electronic,19,50
Disco,1978,Pop,5,50
Disco,1978,Latin,1,50
Disco,1979,Funk / Soul,39,50
Disco,1979,Pop,8,50
Disco,1979,Electronic,20,50
Disco,1979,Reggae,1,50
Disco,1979,Rock,1,50
Disco,1980,Electronic,22,50
Disco,1980,Funk / Soul,33,50
Disco,1980,Pop,5,50
Disco,1980,"Folk, World, & Country",1,50
Disco,1980,Hip Hop,2,50
Disco,1981,Electronic,26,50
Disco,1981,Funk / Soul,31,50
Disco,1981,Pop,3,50
Disco,1981,Hip Hop,1,50
Disco,1981,Reggae,1,50
Disco,1982,Electronic,33,50
Disco,1982,Funk / Soul,29,50
Disco,1982,Pop,4,50
Disco,1982,Hip Hop,2,50
Disco,1982,Reggae,1,50
Disco,1983,Funk / Soul,30,50
Disco,1983,Pop,8,50
Disco,1983,Stage & Screen,1,50
Disco,1983,Electronic,31,50
Disco,1983,Jazz,1,50
Disco,1983,Reggae,1,50
Disco,1984,Electronic,35,50
Disco,1984,Funk / Soul,26,50
Disco,1984,"Folk, World, & Country",1,50
Disco,1984,Pop,3,50
Disco,1984,Latin,1,50
Disco,1985,Electronic,36,50
Disco,1985,Funk / Soul,27,50
Disco,1985,Pop,6,50
Disco,1985,Children's,1,50
Disco,1985,Stage & Screen,1,50
Disco,1986,Funk / Soul,16,50
Disco,1986,Electronic,42,50
Disco,1986,Classical,1,50
Disco,1986,Pop,4,50
Disco,1987,Funk / Soul,21,50
Disco,1987,Electronic,37,50
Disco,1987,Pop,11,50
Disco,1988,Electronic,38,50
Disco,1988,Funk / Soul,19,50
Disco,1988,Pop,11,50
Disco,1988,Children's,1,50
Disco,1988,Latin,1,50
Disco,1988,Rock,1,50
Disco,1989,Electronic,28,50
Disco,1989,Funk / Soul,29,50
Disco,1989,Pop,10,50
Disco,1989,Rock,2,50
Disco,1989,Latin,1,50
Disco,1989,"Folk, World, & Country",1,50
Disco,1989,Hip Hop,1,50
Disco,1990,Electronic,36,50
Disco,1990,Funk / Soul,20,50
Disco,1990,Stage & Screen,1,50
Disco,1990,Pop,10,50
Disco,1990,Children's,1,50
Disco,1990,Rock,3,50
Italo-Disco,1974,Disco,1,2
Italo-Disco,1974,Electronic,2,2
Italo-Disco,1974,Pop,1,2
Italo-Disco,1974,"Folk, World, & Country",1,2
Italo-Disco,1974,Prog Rock,1,2
Italo-Disco,1974,Rock,1,2
Italo-Disco,1975,Disco,1,1
Italo-Disco,1975,Balearic,1,1
Italo-Disco,1975,Electronic,1,1
Italo-Disco,1977,Electronic,2,2
Italo-Disco,1977,Funk / Soul,1,2
Italo-Disco,1977,Pop,2,2
Italo-Disco,1978,Electronic,1,2
Italo-Disco,1978,Soft Rock,1,2
Italo-Disco,1978,Pop Rock,1,2
Italo-Disco,1978,Synth-pop,1,2
Italo-Disco,1978,Disco,1,2
Italo-Disco,1978,Funk,1,2
Italo-Disco,1978,Rock,1,2
Italo-Disco,1978,Pop,1,2
Italo-Disco,1979,Electronic,14,15
Italo-Disco,1979,Pop,2,15
Italo-Disco,1979,Children's,1,15
Italo-Disco,1979,"Folk, World, & Country",1,15
Italo-Disco,1979,Disco,10,15
Italo-Disco,1979,Funk / Soul,6,15
Italo-Disco,1979,Boogie,1,15
Italo-Disco,1979,Electro,1,15
Italo-Disco,1979,Hi NRG,1,15
Italo-Disco,1979,Classic Rock,1,15
Italo-Disco,1979,Rock,3,15
Italo-Disco,1979,Space Rock,1,15
Italo-Disco,1979,Schlager,1,15
Italo-Disco,1979,Pop Rock,1,15
Italo-Disco,1979,Ballad,1,15
Italo-Disco,1979,Chanson,1,15
Italo-Disco,1979,Europop,1,15
Italo-Disco,1979,Vocal,1,15
Italo-Disco,1980,Electronic,48,50
Italo-Disco,1980,Funk / Soul,7,50
Italo-Disco,1980,Pop,11,50
Italo-Disco,1980,Children's,1,50
Italo-Disco,1980,"Folk, World, & Country",1,50
Italo-Disco,1980,Jazz,1,50
Italo-Disco,1981,Electronic,50,50
Italo-Disco,1981,Funk / Soul,6,50
Italo-Disco,1981,Rock,3,50
Italo-Disco,1981,Pop,10,50
Italo-Disco,1982,Electronic,48,50
Italo-Disco,1982,Funk / Soul,2,50
Italo-Disco,1982,Pop,5,50
Italo-Disco,1983,Electronic,50,50
Italo-Disco,1983,Pop,1,50
Italo-Disco,1984,Electronic,50,50
Italo-Disco,1984,Stage & Screen,1,50
Italo-Disco,1984,Funk / Soul,2,50
Italo-Disco,1985,Electronic,50,50
Italo-Disco,1985,Pop,2,50
Italo-Disco,1986,Electronic,50,50
Italo-Disco,1986,Pop,5,50
Italo-Disco,1986,Funk / Soul,1,50
Italo-Disco,1987,Electronic,50,50
Italo-Disco,1987,Funk / Soul,1,50
Italo-Disco,1988,Electronic,50,50
Italo-Disco,1988,Pop,7,50
Italo-Disco,1988,Latin,1,50
Italo-Disco,1988,Funk / Soul,1,50
Italo-Disco,1989,Electronic,50,50
Italo-Disco,1989,Funk / Soul,2,50
Italo-Disco,1989,Rock,1,50
Italo-Disco,1989,Pop,5,50
Italo-Disco,1989,"Folk, World, & Country",1,50
Italo-Disco,1990,Electronic,49,50
Italo-Disco,1990,Pop,9,50
Italo-Disco,1990,Jazz,1,50
Italo-Disco,1990,Funk / Soul,1,50
Italo-Disco,1990,Stage & Screen,1,50
Hi NRG,1975,Disco,2,2
Hi NRG,1975,Electronic,2,2
Hi NRG,1975,Funk / Soul,2,2
Hi NRG,1977,Disco,4,4
Hi NRG,1977,Electronic,4,4
Hi NRG,1977,Funk / Soul,1,4
Hi NRG,1977,Electro,2,4
Hi NRG,1978,Disco,32,32
Hi NRG,1978,Electronic,28,32
Hi NRG,1978,Funk / Soul,17,32
Hi NRG,1978,Soul,5,32
Hi NRG,1978,Funk,2,32
Hi NRG,1978,Boogie,2,32
Hi NRG,1978,Rock & Roll,2,32
Hi NRG,1978,Rock,2,32
Hi NRG,1978,Dance-pop,1,32
Hi NRG,1978,Euro-Disco,1,32
Hi NRG,1978,Europop,1,32
Hi NRG,1978,Synth-pop,1,32
Hi NRG,1978,Pop,1,32
Hi NRG,1979,Electronic,50,50
Hi NRG,1979,Disco,49,50
Hi NRG,1979,Funk / Soul,22,50
Hi NRG,1979,Pop,2,50
Hi NRG,1980,Electronic,50,50
Hi NRG,1980,Disco,46,50
Hi NRG,1980,Funk / Soul,16,50
Hi NRG,1980,Chanson,1,50
Hi NRG,1980,Pop,10,50
Hi NRG,1980,Parody,1,50
Hi NRG,1980,Europop,1,50
Hi NRG,1980,Funk,1,50
Hi NRG,1980,Ballad,2,50
Hi NRG,1981,Electronic,50,50
Hi NRG,1981,Rock,3,50
Hi NRG,1981,Funk / Soul,5,50
Hi NRG,1981,Disco,37,50
Hi NRG,1981,Pop,2,50
Hi NRG,1982,Electronic,50,50
Hi NRG,1982,Pop,3,50
Hi NRG,1983,Electronic,50,50
Hi NRG,1983,Funk / Soul,4,50
Hi NRG,1983,Pop,6,50
Hi NRG,1983,Stage & Screen,1,50
Hi NRG,1983,Rock,1,50
Hi NRG,1984,Electronic,50,50
Hi NRG,1984,Pop,2,50
Hi NRG,1984,Funk / Soul,3,50
Hi NRG,1985,Pop,5,50
Hi NRG,1985,Electronic,48,50
Hi NRG,1985,Rock,2,50
Hi NRG,1986,Electronic,50,50
Hi NRG,1986,Pop,2,50
Hi NRG,1987,Electronic,50,50
Hi NRG,1987,Pop,4,50
Hi NRG,1987,Rock,1,50
Hi NRG,1988,Electronic,50,50
Hi NRG,1988,Pop,8,50
Hi NRG,1988,Funk / Soul,4,50
Hi NRG,1989,Electronic,50,50
Hi NRG,1989,Funk / Soul,5,50
Hi NRG,1989,Pop,10,50
Hi NRG,1989,Jazz,1,50
Hi NRG,1990,Electronic,50,50
Hi NRG,1990,Hip Hop,2,50
Hi NRG,1990,Pop,5,50
Hi NRG,1990,Rock,1,50
Euro-Disco,1974,Europop,1,1
Euro-Disco,1974,Easy Listening,1,1
Euro-Disco,1974,Latin,1,1
Euro-Disco,1974,Funk / Soul,1,1
Euro-Disco,1974,Pop,1,1
Euro-Disco,1975,Disco,1,4
Euro-Disco,1975,Electronic,1,4
Euro-Disco,1975,Latin,1,4
Euro-Disco,1975,Funk / Soul,1,4
Euro-Disco,1975,Europop,3,4
Euro-Disco,1975,Pop,3,4
Euro-Disco,1976,Disco,10,17
Euro-Disco,1976,Electronic,16,17
Euro-Disco,1976,Rock,6,17
Euro-Disco,1976,Pop,11,17
Euro-Disco,1976,Funk / Soul,10,17
Euro-Disco,1976,Soul,2,17
Euro-Disco,1976,Pop Rock,5,17
Euro-Disco,1976,Chanson,1,17
Euro-Disco,1976,Ballad,1,17
Euro-Disco,1976,Country,2,17
Euro-Disco,1976,"Folk, World, & Country",2,17
Euro-Disco,1976,Europop,2,17
Euro-Disco,1976,Reggae,1,17
Euro-Disco,1977,Disco,24,50
Euro-Disco,1977,Electronic,35,50
Euro-Disco,1977,Funk / Soul,19,50
Euro-Disco,1977,Pop,25,50
Euro-Disco,1977,Electro,3,50
Euro-Disco,1977,Europop,9,50
Euro-Disco,1977,Folk,1,50
Euro-Disco,1977,"Folk, World, & Country",1,50
Euro-Disco,1977,Funk,1,50
Euro-Disco,1977,Italodance,1,50
Euro-Disco,1978,Disco,39,50
Euro-Disco,1978,Electronic,32,50
Euro-Disco,1978,Funk / Soul,37,50
Euro-Disco,1978,Pop,19,50
Euro-Disco,1978,Latin,1,50
Euro-Disco,1978,Rock,4,50
Euro-Disco,1978,Stage & Screen,1,50
Euro-Disco,1978,Europop,3,50
Euro-Disco,1979,Disco,34,50
Euro-Disco,1979,Pop,25,50
Euro-Disco,1979,Electronic,38,50
Euro-Disco,1979,Funk / Soul,21,50
Euro-Disco,1979,Latin,4,50
Euro-Disco,1979,Rock,1,50
Euro-Disco,1979,Funk,4,50
Euro-Disco,1979,Europop,9,50
Euro-Disco,1979,Ballad,1,50
Euro-Disco,1979,Mandopop,1,50
Euro-Disco,1980,Disco,16,50
Euro-Disco,1980,Electronic,46,50
Euro-Disco,1980,Funk / Soul,15,50
Euro-Disco,1980,Rock,2,50
Euro-Disco,1980,Pop,27,50
Euro-Disco,1980,Hip Hop,1,50
Euro-Disco,1980,Latin,2,50
Euro-Disco,1980,Funk,2,50
Euro-Disco,1980,Europop,19,50
Euro-Disco,1980,Abstract,1,50
Euro-Disco,1980,Ballad,1,50
Euro-Disco,1980,Punk,1,50
Euro-Disco,1980,Vocal,1,50
Euro-Disco,1981,Disco,26,50
Euro-Disco,1981,Electronic,44,50
Euro-Disco,1981,Pop,29,50
Euro-Disco,1981,Funk / Soul,18,50
Euro-Disco,1981,Europop,17,50
Euro-Disco,1981,Glam,2,50
Euro-Disco,1981,Rock,3,50
Euro-Disco,1981,Ballad,1,50
Euro-Disco,1981,Non-Music,1,50
Euro-Disco,1981,Schlager,1,50
Euro-Disco,1981,Folk,3,50
Euro-Disco,1981,"Folk, World, & Country",3,50
Euro-Disco,1982,Electronic,49,50
Euro-Disco,1982,Pop,29,50
Euro-Disco,1982,Disco,10,50
Euro-Disco,1982,Funk / Soul,9,50
Euro-Disco,1982,Europop,7,50
Euro-Disco,1982,Italo-Disco,3,50
Euro-Disco,1982,Novelty,1,50
Euro-Disco,1982,Vocal,1,50
Euro-Disco,1982,Chanson,2,50
Euro-Disco,1982,Theme,1,50
Euro-Disco,1982,Stage & Screen,1,50
Euro-Disco,1982,Synth-pop,12,50
Euro-Disco,1982,Hi NRG,1,50
