style,country,year,count
Disco,ALL,1970,137
Disco,ALL,1971,131
Disco,ALL,1972,560
Disco,ALL,1973,1473
Disco,ALL,1974,4214
Disco,ALL,1975,11048
Disco,ALL,1976,18063
Disco,ALL,1977,22818
Disco,ALL,1978,30282
Disco,ALL,1979,37439
Disco,ALL,1980,23048
Disco,ALL,1981,19193
Disco,ALL,1982,18730
Disco,ALL,1983,19648
Disco,ALL,1984,16832
Disco,ALL,1985,15910
Disco,ALL,1986,13868
Disco,ALL,1987,12301
Disco,ALL,1988,9854
Disco,ALL,1989,7520
Disco,ALL,1990,5452
Disco,US,1970,13
Disco,US,1971,23
Disco,US,1972,150
Disco,US,1973,433
Disco,US,1974,1030
Disco,US,1975,3064
Disco,US,1976,5044
Disco,US,1977,5791
Disco,US,1978,7855
Disco,US,1979,10354
Disco,US,1980,5839
Disco,US,1981,4752
Disco,US,1982,4528
Disco,US,1983,3967
Disco,US,1984,2951
Disco,US,1985,2244
Disco,US,1986,1839
Disco,US,1987,1529
Disco,US,1988,1083
Disco,US,1989,858
Disco,US,1990,563
Disco,UK,1970,16
Disco,UK,1971,15
Disco,UK,1972,50
Disco,UK,1973,218
Disco,UK,1974,498
Disco,UK,1975,1133
Disco,UK,1976,1758
Disco,UK,1977,1973
Disco,UK,1978,2704
Disco,UK,1979,3525
Disco,UK,1980,1988
Disco,UK,1981,1875
Disco,UK,1982,1896
Disco,UK,1983,2215
Disco,UK,1984,1825
Disco,UK,1985,1702
Disco,UK,1986,1503
Disco,UK,1987,1336
Disco,UK,1988,1117
Disco,UK,1989,925
Disco,UK,1990,681
Disco,Italy,1970,8
Disco,Italy,1971,14
Disco,Italy,1972,41
Disco,Italy,1973,80
Disco,Italy,1974,264
Disco,Italy,1975,688
Disco,Italy,1976,1135
Disco,Italy,1977,1754
Disco,Italy,1978,1903
Disco,Italy,1979,2117
Disco,Italy,1980,1409
Disco,Italy,1981,1120
Disco,Italy,1982,1356
Disco,Italy,1983,1994
Disco,Italy,1984,2141
Disco,Italy,1985,1832
Disco,Italy,1986,1551
Disco,Italy,1987,1340
Disco,Italy,1988,914
Disco,Italy,1989,764
Disco,Italy,1990,477
Disco,Germany,1970,10
Disco,Germany,1971,10
Disco,Germany,1972,55
Disco,Germany,1973,84
Disco,Germany,1974,290
Disco,Germany,1975,671
Disco,Germany,1976,1194
Disco,Germany,1977,1421
Disco,Germany,1978,1703
Disco,Germany,1979,2244
Disco,Germany,1980,1434
Disco,Germany,1981,1212
Disco,Germany,1982,1055
Disco,Germany,1983,1380
Disco,Germany,1984,1261
Disco,Germany,1985,1582
Disco,Germany,1986,1466
Disco,Germany,1987,1359
Disco,Germany,1988,1175
Disco,Germany,1989,898
Disco,Germany,1990,660
Disco,Spain,1970,11
Disco,Spain,1971,15
Disco,Spain,1972,29
Disco,Spain,1973,34
Disco,Spain,1974,204
Disco,Spain,1975,405
Disco,Spain,1976,717
Disco,Spain,1977,1103
Disco,Spain,1978,1225
Disco,Spain,1979,1301
Disco,Spain,1980,889
Disco,Spain,1981,806
Disco,Spain,1982,829
Disco,Spain,1983,1013
Disco,Spain,1984,842
Disco,Spain,1985,897
Disco,Spain,1986,892
Disco,Spain,1987,827
Disco,Spain,1988,635
Disco,Spain,1989,294
Disco,Spain,1990,158
Italo-Disco,ALL,1970,0
Italo-Disco,ALL,1971,0
Italo-Disco,ALL,1972,0
Italo-Disco,ALL,1973,0
Italo-Disco,ALL,1974,2
Italo-Disco,ALL,1975,1
Italo-Disco,ALL,1976,0
Italo-Disco,ALL,1977,2
Italo-Disco,ALL,1978,2
Italo-Disco,ALL,1979,15
Italo-Disco,ALL,1980,212
Italo-Disco,ALL,1981,385
Italo-Disco,ALL,1982,981
Italo-Disco,ALL,1983,2750
Italo-Disco,ALL,1984,3533
Italo-Disco,ALL,1985,3911
Italo-Disco,ALL,1986,3842
Italo-Disco,ALL,1987,3398
Italo-Disco,ALL,1988,2674
Italo-Disco,ALL,1989,1819
Italo-Disco,ALL,1990,978
Italo-Disco,US,1970,0
Italo-Disco,US,1971,0
Italo-Disco,US,1972,0
Italo-Disco,US,1973,0
Italo-Disco,US,1974,0
Italo-Disco,US,1975,0
Italo-Disco,US,1976,0
Italo-Disco,US,1977,0
Italo-Disco,US,1978,0
Italo-Disco,US,1979,0
Italo-Disco,US,1980,25
Italo-Disco,US,1981,24
Italo-Disco,US,1982,26
Italo-Disco,US,1983,53
Italo-Disco,US,1984,62
Italo-Disco,US,1985,64
Italo-Disco,US,1986,70
Italo-Disco,US,1987,76
Italo-Disco,US,1988,53
Italo-Disco,US,1989,36
Italo-Disco,US,1990,17
Italo-Disco,UK,1970,0
Italo-Disco,UK,1971,0
Italo-Disco,UK,1972,0
Italo-Disco,UK,1973,0
Italo-Disco,UK,1974,0
Italo-Disco,UK,1975,0
Italo-Disco,UK,1976,0
Italo-Disco,UK,1977,0
Italo-Disco,UK,1978,0
Italo-Disco,UK,1979,0
Italo-Disco,UK,1980,3
Italo-Disco,UK,1981,5
Italo-Disco,UK,1982,17
Italo-Disco,UK,1983,90
Italo-Disco,UK,1984,45
Italo-Disco,UK,1985,56
Italo-Disco,UK,1986,37
Italo-Disco,UK,1987,59
Italo-Disco,UK,1988,56
Italo-Disco,UK,1989,35
Italo-Disco,UK,1990,21
Italo-Disco,Italy,1970,0
Italo-Disco,Italy,1971,0
Italo-Disco,Italy,1972,0
Italo-Disco,Italy,1973,0
Italo-Disco,Italy,1974,2
Italo-Disco,Italy,1975,1
Italo-Disco,Italy,1976,0
Italo-Disco,Italy,1977,2
Italo-Disco,Italy,1978,0
Italo-Disco,Italy,1979,10
Italo-Disco,Italy,1980,98
Italo-Disco,Italy,1981,199
Italo-Disco,Italy,1982,518
Italo-Disco,Italy,1983,1248
Italo-Disco,Italy,1984,1635
Italo-Disco,Italy,1985,1410
Italo-Disco,Italy,1986,1230
Italo-Disco,Italy,1987,1054
Italo-Disco,Italy,1988,726
Italo-Disco,Italy,1989,593
Italo-Disco,Italy,1990,340
Italo-Disco,Germany,1970,0
Italo-Disco,Germany,1971,0
Italo-Disco,Germany,1972,0
Italo-Disco,Germany,1973,0
Italo-Disco,Germany,1974,0
Italo-Disco,Germany,1975,0
Italo-Disco,Germany,1976,0
Italo-Disco,Germany,1977,0
Italo-Disco,Germany,1978,1
Italo-Disco,Germany,1979,0
Italo-Disco,Germany,1980,12
Italo-Disco,Germany,1981,25
Italo-Disco,Germany,1982,81
Italo-Disco,Germany,1983,354
Italo-Disco,Germany,1984,409
Italo-Disco,Germany,1985,530
Italo-Disco,Germany,1986,408
Italo-Disco,Germany,1987,348
Italo-Disco,Germany,1988,345
Italo-Disco,Germany,1989,203
Italo-Disco,Germany,1990,121
Italo-Disco,Spain,1970,0
Italo-Disco,Spain,1971,0
Italo-Disco,Spain,1972,0
Italo-Disco,Spain,1973,0
Italo-Disco,Spain,1974,0
Italo-Disco,Spain,1975,0
Italo-Disco,Spain,1976,0
Italo-Disco,Spain,1977,0
Italo-Disco,Spain,1978,0
Italo-Disco,Spain,1979,1
Italo-Disco,Spain,1980,3
Italo-Disco,Spain,1981,31
Italo-Disco,Spain,1982,57
Italo-Disco,Spain,1983,199
Italo-Disco,Spain,1984,287
